,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
722101,tt0101523,The Butcher's Wife,US,movie,The Butcher's Wife,1991,107,5.4,8376,Comedy,Fantasy,Romance
722136,tt0101524,By the Sword,US,movie,By the Sword,1991,91,6.5,1565,Adventure,Drama,Sport
722175,tt0101529,Cabeza de Vaca,US,movie,Cabeza de Vaca,1991,112,6.9,1120,Adventure,Biography,Drama
722287,tt0101540,Cape Fear,US,movie,Cape Fear,1991,128,7.3,184507,Crime,Thriller,
722333,tt0101545,Career Opportunities,US,movie,Career Opportunities,1991,83,5.9,13194,Comedy,Romance,
722634,tt0101587,City Slickers,US,movie,City Slickers,1991,113,6.8,53425,Comedy,Western,
722684,tt0101588,City of Hope,US,movie,City of Hope,1991,129,7.3,2449,Crime,Drama,
722721,tt0101590,Class Action,US,movie,Class Action,1991,110,6.4,7366,Drama,Thriller,
722725,tt0101591,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,US,movie,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,96,4.5,2191,Comedy,Horror,Sci-Fi
722775,tt0101595,Close My Eyes,US,movie,Close My Eyes,1991,108,6.3,3205,Drama,Romance,
722798,tt0101597,Closet Land,US,movie,Closet Land,1991,89,7.1,2773,Drama,Thriller,
722874,tt0101605,The Commitments,US,movie,The Commitments,1991,118,7.6,34354,Comedy,Drama,Music
722886,tt0101606,Russian Roulette,US,movie,Company Business,1991,98,5.7,2761,Action,Comedy,Crime
722960,tt0101615,Cool as Ice,US,movie,Cool as Ice,1991,91,2.9,9495,Comedy,Drama,Music
722980,tt0101616,Coolie No. 1,US,movie,Coolie No. 1,1995,143,6.6,5113,Action,Comedy,Romance
723011,tt0101625,Criminals,US,movie,Once Upon a Crime...,1992,94,5.9,4380,Comedy,Crime,Mystery
723043,tt0101627,Critters 3: You Are What They Eat,US,movie,Critters 3,1991,86,4.5,11782,Comedy,Horror,Sci-Fi
723065,tt0101628,Critters 4: They're Invading Your Space,US,movie,Critters 4,1992,87,4.1,7294,Horror,Sci-Fi,
723095,tt0101629,Crooked Hearts,US,movie,Crooked Hearts,1991,113,6.0,1019,Drama,Romance,
723149,tt0101635,Curly Sue,US,movie,Curly Sue,1991,101,5.9,21207,Comedy,Drama,Family
723224,tt0101640,Raise the Red Lantern,US,movie,Dà hóng denglong gaogao guà,1991,125,8.1,31368,Drama,History,Romance
723297,tt0101649,Thalapathi,US,movie,Thalapathi,1991,157,8.5,11334,Action,Crime,Drama
723362,tt0101660,The Dark Backward,US,movie,The Dark Backward,1991,101,5.8,3646,Comedy,,
723441,tt0101669,Dead Again,US,movie,Dead Again,1991,107,6.9,27272,Crime,Drama,Mystery
723508,tt0101675,Biohazard,US,movie,Dead Space,1991,72,3.4,1061,Horror,Sci-Fi,
723692,tt0101694,Deceived,US,movie,Deceived,1991,104,6.2,7057,Crime,Drama,Mystery
723757,tt0101698,Defending Your Life,US,movie,Defending Your Life,1991,112,7.2,18313,Comedy,Drama,Fantasy
723777,tt0101700,Delicatessen,US,movie,Delicatessen,1991,99,7.6,83261,Comedy,Crime,
723804,tt0101701,Delirious,US,movie,Delirious,1991,96,5.9,8329,Comedy,Fantasy,
723928,tt0101725,Diary of a Hitman,US,movie,Diary of a Hitman,1991,90,5.3,1889,Crime,Drama,
723961,tt0101732,The Heart Knows the Truth,US,movie,Dil Aashna Hai (...The Heart Knows),1992,164,5.0,1595,Drama,Romance,
723971,tt0101733,The Heart Don't Fall Into Line,US,movie,Dil Hai Ki Manta Nahin,1991,154,7.3,4219,Adventure,Comedy,Drama
724054,tt0101744,Do or Die,US,movie,Do or Die,1991,97,4.2,1149,Action,Adventure,
724078,tt0101745,Doc Hollywood,US,movie,Doc Hollywood,1991,104,6.2,35299,Comedy,Drama,Romance
724112,tt0101746,The Doctor,US,movie,The Doctor,1991,122,7.0,5405,Drama,,
724135,tt0101748,Dogfight,US,movie,Dogfight,1991,94,7.4,8997,Comedy,Drama,Romance
724222,tt0101757,The Real World,US,movie,Don't Tell Mom the Babysitter's Dead,1991,102,6.3,31843,Comedy,,
724281,tt0101761,The Doors,US,movie,The Doors,1991,140,7.2,88728,Biography,Drama,Music
724326,tt0101764,Double Impact,US,movie,Double Impact,1991,110,5.6,39791,Action,Crime,
724365,tt0101765,The Double Life of Véronique,US,movie,La double vie de Véronique,1991,98,7.8,45854,Drama,Fantasy,Music
724430,tt0101772,The Boys from St. Petri,US,movie,Drengene fra Sankt Petri,1991,111,7.0,2028,Drama,War,
724462,tt0101775,Drop Dead Fred,US,movie,Drop Dead Fred,1991,103,5.9,28038,Comedy,Drama,Fantasy
724536,tt0101783,God of Gamblers Part III: Back to Shanghai,US,movie,Do haap II: Seung Hoi taam do sing,1991,116,6.6,2210,Comedy,Drama,
724569,tt0101786,Dutch,US,movie,Dutch,1991,107,6.5,12250,Comedy,Drama,
724600,tt0101787,Dying Young,US,movie,Dying Young,1991,111,6.1,15789,Drama,Romance,
724659,tt0101798,Edward II,US,movie,Edward II,1991,87,6.8,2625,Drama,History,Romance
724739,tt0101811,Enchanted April,US,movie,Enchanted April,1991,95,7.4,6455,Drama,,
724788,tt0101821,Ernest Scared Stiff,US,movie,Ernest Scared Stupid,1991,91,5.8,11333,Comedy,Family,Fantasy
724835,tt0101829,Zentropa,US,movie,Europa,1991,112,7.6,20750,Drama,Thriller,
724867,tt0101831,Eve of Destruction,US,movie,Eve of Destruction,1991,99,4.9,2217,Action,Sci-Fi,Thriller
724972,tt0101844,Eyes of an Angel,US,movie,Eyes of an Angel,1991,95,5.4,1252,Drama,,
725006,tt0101846,FX II,US,movie,F/X2,1991,108,5.9,10620,Action,Thriller,
725147,tt0101862,Father of the Bride,US,movie,Father of the Bride,1991,105,6.5,72752,Comedy,Family,Romance
725189,tt0101864,Crazy Safari,US,movie,Fei zhou he shang,1991,96,5.5,1124,Comedy,Fantasy,
725407,tt0101889,The Fisher King,US,movie,The Fisher King,1991,137,7.5,82817,Comedy,Drama,Fantasy
725419,tt0101891,The Five Heartbeats,US,movie,The Five Heartbeats,1991,121,7.6,4135,Drama,Music,
725460,tt0101898,Flirting,US,movie,Flirting,1991,99,7.2,5971,Drama,Romance,
