,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
811546,tt0113356,Out of the Dark,US,movie,Wui wan yeh,1995,86,6.9,2253,Comedy,Horror,
811600,tt0113360,The Hunted,US,movie,The Hunted,1995,111,6.0,5093,Action,Drama,Thriller
811637,tt0113362,The Horseman on the Roof,US,movie,Le hussard sur le toit,1995,135,7.1,5936,Adventure,Drama,Romance
811704,tt0113376,Ice Cream Man,US,movie,Ice Cream Man,1995,86,4.8,3612,Comedy,Horror,Thriller
811763,tt0113394,The Immortals,US,movie,The Immortals,1995,98,5.6,1420,Action,Crime,Drama
811830,tt0113403,A Midwinter's Tale,US,movie,In the Bleak Midwinter,1995,99,7.2,2534,Comedy,,
811905,tt0113409,John Carpenter's In the Mouth of Madness,US,movie,In the Mouth of Madness,1995,95,7.2,66004,Drama,Fantasy,Horror
811963,tt0113416,The Incredibly True Adventure of 2 Girls in Love,US,movie,The Incredibly True Adventure of Two Girls in Love,1995,94,6.6,4584,Comedy,Drama,Romance
811990,tt0113419,The Indian in the Cupboard,US,movie,The Indian in the Cupboard,1995,96,6.0,27812,Drama,Family,Fantasy
812078,tt0113429,"Institute Benjamenta, or This Dream That One Calls Human Life",US,movie,"Institute Benjamenta, or This Dream People Call Human Life",1995,105,7.1,1851,Drama,,
812108,tt0113438,Iron Eagle on the Attack,US,movie,Iron Eagle IV,1995,96,3.3,1312,Action,Drama,
812144,tt0113442,Me and My Shadow,US,movie,It Takes Two,1995,101,5.9,21968,Comedy,Family,Romance
812166,tt0113443,It's My Party,US,movie,It's My Party,1996,110,7.1,2987,Drama,Romance,
812211,tt0113448,Jack & Sarah,US,movie,Jack & Sarah,1995,110,6.7,5213,Comedy,Drama,Romance
812219,tt0113449,Jacko,US,movie,Jack-O,1995,88,3.3,1351,Horror,,
812233,tt0113451,Jade,US,movie,Jade,1995,95,5.3,12369,Crime,Drama,Thriller
812326,tt0113463,Jefferson in Paris,US,movie,Jefferson in Paris,1995,139,5.7,2995,Biography,Drama,History
812336,tt0113464,Jeffrey,US,movie,Jeffrey,1995,92,6.8,6108,Comedy,Drama,
812384,tt0113475,The Chinese Feast,US,movie,Gam yuk moon tong,1995,100,6.9,1155,Comedy,Romance,
812403,tt0113481,Fugitivo del futuro,US,movie,Johnny Mnemonic,1995,103,5.7,69353,Action,Drama,Sci-Fi
812522,tt0113492,Judge Dredd,US,movie,Judge Dredd,1995,96,5.6,114796,Action,Crime,Sci-Fi
812566,tt0113497,Jumanji,US,movie,Jumanji,1995,104,7.0,325862,Adventure,Comedy,Family
812611,tt0113500,Jury Duty,US,movie,Jury Duty,1995,88,4.3,7904,Comedy,,
812619,tt0113501,Just Cause,US,movie,Just Cause,1995,102,6.4,26260,Action,Crime,Drama
812696,tt0113510,The Jonsson Gang's Greatest Robbery,US,movie,Jönssonligans största kupp,1995,99,5.0,2036,Comedy,Crime,
812746,tt0113526,Karan Arjun,US,movie,Karan Arjun,1995,175,6.8,13818,Action,Drama,Fantasy
812770,tt0113533,Katie,US,movie,Born to Be Wild,1995,100,5.2,1518,Adventure,Comedy,Drama
812800,tt0113537,Kicking and Screaming,US,movie,Kicking and Screaming,1995,96,6.8,13179,Comedy,Drama,Romance
812810,tt0113538,A Kid in King Arthur's Court,US,movie,A Kid in King Arthur's Court,1995,89,4.7,6037,Adventure,Comedy,Family
812846,tt0113540,Kids,US,movie,Kids,1995,91,7.1,76185,Drama,,
812895,tt0113542,Killer: A Journal of Murder,US,movie,Killer: A Journal of Murder,1995,91,6.3,2279,Biography,Crime,Drama
812974,tt0113552,Kiss of Death,US,movie,Kiss of Death,1995,101,5.9,18754,Crime,Drama,Thriller
813014,tt0113557,Zero Kelvin,US,movie,Kjærlighetens kjøtere,1995,118,7.3,1906,Drama,,
813076,tt0113568,Armored Riot Police,US,movie,Kôkaku Kidôtai,1995,83,8.0,136625,Action,Animation,Crime
813306,tt0113613,The Last Supper,US,movie,The Last Supper,1995,92,6.8,14612,Comedy,Crime,Drama
813341,tt0113617,Last of the Dogmen,US,movie,Last of the Dogmen,1995,118,7.0,5195,Adventure,Western,
813383,tt0113627,Leaving Las Vegas,US,movie,Leaving Las Vegas,1995,111,7.5,119622,Drama,Romance,
813558,tt0113649,Juegos de Guerra,US,movie,Libertarias,1996,125,7.0,1995,Drama,History,War
813689,tt0113670,A Little Princess,US,movie,A Little Princess,1995,97,7.7,33542,Drama,Family,Fantasy
813727,tt0113674,Live Nude Girls,US,movie,Live Nude Girls,1995,95,5.3,1837,Comedy,,
813762,tt0113677,Living in Oblivion,US,movie,Living in Oblivion,1995,90,7.5,17810,Comedy,Drama,
813808,tt0113682,Loch Ness,US,movie,Loch Ness,1996,101,5.5,4393,Adventure,Drama,Fantasy
813843,tt0113690,Lord of Illusions,US,movie,Lord of Illusions,1995,109,6.1,17150,Horror,Mystery,Thriller
813860,tt0113691,Losing Isaiah,US,movie,Losing Isaiah,1995,111,6.5,5931,Drama,,
813909,tt0113703,Love Letter,US,movie,Love Letter,1995,117,7.9,8188,Drama,Romance,
813969,tt0113718,Lumière and Company,US,movie,Lumière et compagnie,1995,88,6.9,3134,Documentary,Drama,
814005,tt0113720,All Things Fair,US,movie,Lust och fägring stor,1995,130,6.9,6265,Drama,Romance,War
814079,tt0113725,Maborosi,US,movie,Maboroshi no hikari,1995,110,7.5,5669,Drama,,
814094,tt0113729,Mad Love,US,movie,Mad Love,1995,93,5.4,6465,Comedy,Drama,Romance
814176,tt0113737,Magic in the Water,US,movie,Magic in the Water,1995,98,5.5,1967,Adventure,Family,Fantasy
814216,tt0113748,Malicious,US,movie,Malicious,1995,92,5.0,1290,Drama,Thriller,
814245,tt0113749,Mallrats,US,movie,Mallrats,1995,94,7.1,120010,Comedy,Romance,
814317,tt0113755,Man of the House,US,movie,Man of the House,1995,96,5.2,9355,Comedy,Family,
814345,tt0113757,A Chinese Torture Chamber Story,US,movie,Moon ching sap dai huk ying,1994,88,5.8,1301,Comedy,Drama,Thriller
814375,tt0113762,The Mangler,US,movie,The Mangler,1995,106,4.3,8945,Horror,Mystery,
814446,tt0113774,Margaret's Museum,US,movie,Margaret's Museum,1995,114,7.2,1339,Drama,,
814538,tt0113799,Memories,US,movie,Memorîzu,1995,113,7.6,17115,Animation,Comedy,Fantasy
814576,tt0113808,Miami Rhapsody,US,movie,Miami Rhapsody,1995,95,5.4,3305,Comedy,Romance,
814663,tt0113819,Mighty Aphrodite,US,movie,Mighty Aphrodite,1995,95,7.0,39471,Comedy,Fantasy,Romance
814675,tt0113820,Mighty Morphin Power Rangers: The Movie,US,movie,Mighty Morphin Power Rangers: The Movie,1995,95,5.2,26576,Action,Adventure,Family
814716,tt0113824,Whisper of the Heart,US,movie,Mimi wo sumaseba,1995,111,7.9,57596,Animation,Drama,Family
814791,tt0113828,Les Misérables,US,movie,Les misérables,1995,175,7.5,3784,Drama,History,
814920,tt0113845,Money Train,US,movie,Money Train,1995,110,5.7,40247,Action,Comedy,Crime
814960,tt0113849,A Month by the Lake,US,movie,A Month by the Lake,1995,92,6.3,2404,Comedy,Drama,Romance
814987,tt0113851,Moonlight and Valentino,US,movie,Moonlight and Valentino,1995,105,5.7,3668,Comedy,Drama,Romance
815035,tt0113855,Mortal Kombat,US,movie,Mortal Kombat,1995,101,5.8,114908,Action,Adventure,Fantasy
815050,tt0113858,Mosquito,US,movie,Mosquito,1994,92,4.8,2363,Horror,Sci-Fi,
815088,tt0113862,Mr. Holland's Opus,US,movie,Mr. Holland's Opus,1995,143,7.3,37447,Drama,Music,
815161,tt0113870,Murder in the First,US,movie,Murder in the First,1995,122,7.3,27787,Drama,Thriller,
815306,tt0113896,My Family,US,movie,My Family,1995,128,7.3,4040,Drama,,
815381,tt0113918,Nobody Will Speak of Us When We're Dead,US,movie,Nadie hablará de nosotras cuando hayamos muerto,1995,104,7.0,1856,Crime,Drama,Thriller
815397,tt0113922,Like Grains of Sand,US,movie,Nagisa no Shindobaddo,1995,129,7.4,1402,Drama,Romance,
815426,tt0113926,Naked Souls,US,movie,Naked Souls,1996,85,3.3,1563,Sci-Fi,Thriller,
815473,tt0113932,Napoleon,US,movie,Napoleon,1995,81,6.1,1817,Adventure,Family,
815486,tt0113936,National Lampoon's Senior Trip,US,movie,Senior Trip,1995,91,5.7,5774,Adventure,Comedy,
815521,tt0113939,Nature of the Beast,US,movie,The Nature of the Beast,1995,91,6.4,2090,Crime,Horror,Mystery
815570,tt0113947,Nelly & Monsieur Arnaud,US,movie,Nelly & Monsieur Arnaud,1995,106,7.3,4476,Drama,,
815686,tt0113957,The Net,US,movie,The Net,1995,114,5.9,64106,Action,Crime,Drama
815717,tt0113965,Never Talk to Strangers,US,movie,Never Talk to Strangers,1995,86,5.2,6685,Crime,Drama,Romance
815752,tt0113967,New Jersey Drive,US,movie,New Jersey Drive,1995,98,6.7,3141,Crime,Drama,
815768,tt0113971,Nothing Funny,US,movie,Nic smiesznego,1995,95,7.4,3327,Comedy,Drama,
815798,tt0113972,Nick of Time,US,movie,Nick of Time,1995,90,6.3,41002,Action,Crime,Drama
815866,tt0113982,Night of the Scarecrow,US,movie,Night of the Scarecrow,1995,85,5.3,1191,Horror,Sci-Fi,
815944,tt0113986,Nine Months,US,movie,Nine Months,1995,103,5.5,36280,Comedy,Romance,
815964,tt0113987,Nixon,US,movie,Nixon,1995,192,7.1,30154,Biography,Drama,History
816035,tt0113999,One Tough Bastard,US,movie,One Tough Bastard,1996,100,5.4,1128,Action,Thriller,
816134,tt0114011,The Gaslight Addition,US,movie,Now and Then,1995,100,6.8,28588,Comedy,Drama,Romance
816258,tt0114031,Oh Darling! This Is India,US,movie,Oh Darling Yeh Hai India,1995,160,4.2,1640,Comedy,,
816334,tt0114048,Dumbo Drop,US,movie,Operation Dumbo Drop,1995,107,5.1,8851,Action,Adventure,Comedy
816396,tt0114055,Peculiarities of the National Hunt,US,movie,Osobennosti natsionalnoy okhoty,1995,93,7.5,4088,Comedy,,
816409,tt0114057,Othello,US,movie,Othello,1995,123,6.9,9451,Drama,Romance,
816515,tt0114069,Outbreak,US,movie,Outbreak,1995,127,6.6,125414,Action,Drama,Thriller
816529,tt0114070,Wes Craven's Mind Ripper,US,movie,The Outpost,1995,108,4.0,1778,Horror,Sci-Fi,
816627,tt0114084,Panther,US,movie,Panther,1995,124,6.4,2456,Drama,,
816646,tt0114086,Beyond the Clouds,US,movie,Al di là delle nuvole,1995,110,6.5,5734,Drama,Romance,
816698,tt0114095,Party Girl,US,movie,Party Girl,1995,94,6.5,4932,Comedy,,
816739,tt0114099,The Passion of Darkly Noon,US,movie,The Passion of Darkly Noon,1995,100,5.9,3842,Drama,Mystery,Thriller
816792,tt0114108,A Penguin Story,US,movie,The Pebble and the Penguin,1995,74,5.7,4902,Adventure,Animation,Comedy
816842,tt0114113,The Perez Family,US,movie,The Perez Family,1995,113,6.0,2254,Comedy,Drama,Romance
816953,tt0114126,Thunderbolt,US,movie,Pik lik foh,1995,110,6.4,8893,Action,Crime,Thriller
816996,tt0114129,Picture Bride,US,movie,Picture Bride,1994,94,6.6,1115,Drama,Romance,
817044,tt0114134,The Pillow Book,US,movie,The Pillow Book,1996,126,6.7,12842,Drama,,
817134,tt0114148,Pocahontas,US,movie,Pocahontas,1995,81,6.7,178373,Adventure,Animation,Drama
817213,tt0114151,Poison Ivy II,US,movie,Poison Ivy II,1996,106,4.5,5804,Drama,Thriller,
817267,tt0114168,Powder,US,movie,Powder,1995,111,6.6,29712,Drama,Fantasy,Mystery
817453,tt0114193,Project: Metalbeast,US,movie,Project: Metalbeast,1995,92,4.6,1003,Horror,Sci-Fi,
817475,tt0114194,The Prophecy,US,movie,The Prophecy,1995,98,6.5,30488,Action,Crime,Drama
817501,tt0114196,Proteus,US,movie,Proteus,1995,97,4.1,1137,Horror,Sci-Fi,Thriller
817574,tt0114210,A Pyromaniac's Love Story,US,movie,A Pyromaniac's Love Story,1995,94,5.4,1057,Comedy,Romance,
817607,tt0114214,The Quick and the Dead,US,movie,The Quick and the Dead,1995,107,6.5,89950,Action,Romance,Thriller
817734,tt0114231,Ram Knows,US,movie,Ram Jaane,1995,122,5.4,3821,Action,Crime,Drama
817751,tt0114234,Bollywood Dreams,US,movie,Rangeela,1995,142,7.5,9609,Comedy,Drama,Musical
817872,tt0114266,Rendez-vous in Paris,US,movie,Les rendez-vous de Paris,1995,98,7.3,1857,Comedy,Romance,
817946,tt0114272,Restoration,US,movie,Restoration,1995,117,6.6,9327,Biography,Drama,History
817980,tt0114279,Richard III,US,movie,Richard III,1995,110,7.4,14390,Drama,Sci-Fi,War
818042,tt0114287,Rob Roy,US,movie,Rob Roy,1995,139,6.9,41938,Adventure,Biography,Drama
818109,tt0114296,Roommates,US,movie,Roommates,1995,108,6.4,1836,Comedy,Drama,
818145,tt0114303,Rough Magic,US,movie,Rough Magic,1995,105,5.5,1878,Comedy,Drama,Fantasy
818167,tt0114306,Rumpelstiltskin,US,movie,Rumpelstiltskin,1995,87,4.5,2377,Comedy,Fantasy,Horror
818238,tt0114317,The Biggest Player,US,movie,Sabse Bada Khiladi,1995,162,6.0,4464,Action,Crime,Thriller
818265,tt0114319,Sabrina,US,movie,Sabrina,1995,127,6.3,39015,Comedy,Drama,Romance
818293,tt0114323,Safe,US,movie,Safe,1995,119,7.2,14433,Drama,,
818362,tt0114329,Hello Cinema,US,movie,Salam Cinema,1995,75,7.7,1865,Comedy,Documentary,Drama
818483,tt0114345,The Scarlet Letter,US,movie,The Scarlet Letter,1995,135,5.3,15025,Drama,Romance,
818527,tt0114354,Brother of Sleep,US,movie,Schlafes Bruder,1995,127,7.0,1592,Drama,Music,Romance
818577,tt0114367,Claw,US,movie,Screamers,1995,108,6.4,26399,Horror,Sci-Fi,Thriller
818594,tt0114369,The Seven Deadly Sins,US,movie,Se7en,1995,127,8.6,1529416,Crime,Drama,Mystery
818661,tt0114371,Search and Destroy,US,movie,Search and Destroy,1995,90,5.4,1305,Action,Comedy,Drama
818802,tt0114388,Sense and Sensibility,US,movie,Sense and Sensibility,1995,136,7.7,110025,Drama,Romance,
819051,tt0114432,Hidden Assassin,US,movie,The Shooter,1995,104,5.1,2175,Action,Crime,Drama
819116,tt0114436,Showgirls,US,movie,Showgirls,1995,128,4.9,65402,Drama,,
819149,tt0114437,High Risk,US,movie,Shu dan long wei,1995,101,6.1,4147,Action,Comedy,Crime
819342,tt0114465,Ski School 2,US,movie,Ski School 2,1994,92,4.0,1321,Comedy,,
819429,tt0114474,Small Faces,US,movie,Small Faces,1995,108,7.0,1536,Drama,,
819466,tt0114478,Smoke,US,movie,Smoke,1995,112,7.4,35403,Comedy,Drama,
819518,tt0114489,Soldier Boyz,US,movie,Soldier Boyz,1995,90,4.4,1202,Action,Drama,Thriller
819572,tt0114496,Kings of Carolina,US,movie,Something to Talk About,1995,106,5.8,14815,Comedy,Drama,Romance
819650,tt0114508,Species,US,movie,Species,1995,108,5.8,78243,Action,Horror,Sci-Fi
819859,tt0114550,Stonewall,US,movie,Stonewall,1995,99,7.0,1629,Comedy,Drama,Romance
819915,tt0114558,Strange Days,US,movie,Strange Days,1995,145,7.2,69800,Action,Crime,Drama
819974,tt0114563,Street Fighter II: The Animated Movie,US,movie,Sutorîto faitâ II gekijô-ban,1994,102,7.2,8626,Action,Adventure,Animation
820038,tt0114571,Stuart Saves His Family,US,movie,Stuart Saves His Family,1995,95,5.3,2774,Comedy,Drama,
820057,tt0114576,Sudden Death,US,movie,Sudden Death,1995,111,5.8,33684,Action,Crime,Thriller
820200,tt0114594,Swimming with Sharks,US,movie,Swimming with Sharks,1994,93,7.1,23845,Comedy,Crime,
820295,tt0114608,Demon Knight,US,movie,Tales from the Crypt: Demon Knight,1995,92,6.7,23074,Action,Fantasy,Horror
820313,tt0114609,Tales from the Hood,US,movie,Tales from the Hood,1995,98,6.4,7924,Crime,Drama,Horror
820374,tt0114614,Tank Girl,US,movie,Tank Girl,1995,104,5.4,31365,Action,Comedy,Sci-Fi
820397,tt0114622,North Star,US,movie,North Star,1996,90,4.9,1240,Action,Adventure,Crime
820425,tt0114623,The Purse Snatcher,US,movie,De tasjesdief,1995,96,5.4,1297,Drama,Family,Thriller
820580,tt0114658,T. Rex,US,movie,Theodore Rex,1995,92,2.4,4471,Action,Comedy,Family
820600,tt0114660,Things to Do in Denver When You're Dead,US,movie,Things to Do in Denver When You're Dead,1995,115,6.8,27162,Crime,Drama,Thriller
820641,tt0114663,3 Wishes,US,movie,Three Wishes,1995,115,6.1,3057,Drama,Family,Fantasy
820676,tt0114666,The Tie That Binds,US,movie,The Tie That Binds,1995,99,5.0,1171,Crime,Drama,Thriller
820704,tt0114671,Land and Freedom,US,movie,Land and Freedom,1995,109,7.6,11015,Drama,War,
820778,tt0114681,To Die For,US,movie,To Die For,1995,106,6.8,46436,Comedy,Crime,Drama
820809,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar",US,movie,"To Wong Foo Thanks for Everything, Julie Newmar",1995,109,6.6,30718,Comedy,Drama,
820885,tt0114690,Tokyo Fist,US,movie,Tokyo Fist,1995,87,7.1,3316,Action,Drama,Thriller
820911,tt0114694,Rocky Road,US,movie,Tommy Boy,1995,97,7.1,82192,Adventure,Comedy,
820967,tt0114697,Top Dog,US,movie,Top Dog,1995,86,4.2,3432,Action,Comedy,Crime
820990,tt0114702,Total Eclipse,US,movie,Total Eclipse,1995,111,6.5,15235,Biography,Drama,Romance
821080,tt0114709,Toy Story,US,movie,Toy Story,1995,81,8.3,933008,Adventure,Animation,Comedy
821219,tt0114726,Trinity,US,movie,Trimurti,1995,187,4.8,2593,Action,Drama,
821275,tt0114733,Tromeo and Juliet,US,movie,Tromeo and Juliet,1996,107,6.1,6177,Action,Comedy,Drama
821391,tt0114746,12 Monkeys,US,movie,Twelve Monkeys,1995,129,8.0,598271,Mystery,Sci-Fi,Thriller
821444,tt0114753,Two Bits,US,movie,Two Bits,1995,85,6.2,3398,Drama,,
821611,tt0114781,Under Siege 2: Dark Territory,US,movie,Under Siege 2: Dark Territory,1995,100,5.5,45605,Action,Adventure,Thriller
821684,tt0114787,Underground,US,movie,Underground,1995,170,8.1,57142,Comedy,Drama,Fantasy
821694,tt0114788,The Underneath,US,movie,Underneath,1995,99,6.1,3528,Crime,Thriller,
821720,tt0114790,A French Woman,US,movie,Une femme française,1995,100,6.3,1262,Drama,Romance,
821780,tt0114798,Unstrung Heroes,US,movie,Unstrung Heroes,1995,93,6.7,3115,Comedy,Drama,
821815,tt0114805,Unzipped,US,movie,Unzipped,1995,73,6.5,1122,Documentary,,
821852,tt0114808,The Star Maker,US,movie,L'uomo delle stelle,1995,113,7.4,5042,Drama,Romance,
821900,tt0114814,The Usual Suspects,US,movie,The Usual Suspects,1995,106,8.5,1034534,Crime,Drama,Mystery
821955,tt0114825,Vampire in Brooklyn,US,movie,Vampire in Brooklyn,1995,100,4.6,22942,Comedy,Fantasy,Horror
822069,tt0114852,Village of the Damned,US,movie,Village of the Damned,1995,98,5.6,30807,Horror,Sci-Fi,Thriller
822142,tt0114857,Virtuosity,US,movie,Virtuosity,1995,106,5.6,29515,Action,Crime,Sci-Fi
822214,tt0114863,Ulysses' Gaze,US,movie,To vlemma tou Odyssea,1995,176,7.6,6659,Drama,War,
822340,tt0114885,Waiting to Exhale,US,movie,Waiting to Exhale,1995,124,6.0,10492,Comedy,Drama,Romance
822384,tt0114887,A Walk in the Clouds,US,movie,A Walk in the Clouds,1995,102,6.7,33122,Drama,Romance,
822461,tt0114898,Waterworld,US,movie,Waterworld,1995,135,6.2,189382,Action,Adventure,Sci-Fi
822516,tt0114906,Welcome to the Doll House,US,movie,Welcome to the Dollhouse,1995,88,7.4,33356,Comedy,Drama,
822602,tt0114916,When Night Is Falling,US,movie,When Night Is Falling,1995,94,6.5,6945,Drama,Romance,
822622,tt0114917,When Saturday Comes,US,movie,When Saturday Comes,1996,98,6.1,2339,Drama,Sport,
822668,tt0114924,While You Were Sleeping,US,movie,While You Were Sleeping,1995,103,6.7,96883,Comedy,Drama,Romance
822744,tt0114928,White Man's Burden,US,movie,White Man's Burden,1995,89,5.3,4857,Drama,Thriller,
822797,tt0114938,Wild Bill,US,movie,Wild Bill,1995,98,5.9,6859,Action,Biography,Western
822829,tt0114941,Wild Side,US,movie,Wild Side,1995,96,5.6,2224,Action,Thriller,
823054,tt0114996,A Chinese Odyssey: Part 2 - Cinderella,US,movie,Sai yau gei: Sin leui kei yun,1995,98,8.0,6940,Action,Adventure,Comedy
823120,tt0115005,Xiu Xiu: The Sent-Down Girl,US,movie,Tian yu,1998,99,7.5,3307,Drama,,
823133,tt0115006,Xtro 3: Watch the Skies,US,movie,Xtro 3: Watch the Skies,1995,97,3.6,1141,Horror,Sci-Fi,
823170,tt0115012,Shanghai Triad,US,movie,"Yao a yao, yao dao wai po qiao",1995,108,7.1,5492,Crime,Drama,History
823216,tt0115019,The Middle,US,movie,Yeh Majhdhaar,1996,139,4.9,1248,Drama,Romance,
823299,tt0115033,The Young Poisoner's Handbook,US,movie,The Young Poisoner's Handbook,1995,99,7.1,3578,Crime,Drama,
823360,tt0115042,Crazy Times,US,movie,Zamaana Deewana,1995,162,4.9,1981,Action,Comedy,Drama
823470,tt0115067,Little Sister,US,movie,Zusje,1995,91,6.9,2441,Drama,Mystery,
825582,tt0115433,101 Dalmatians,US,movie,101 Dalmatians,1996,103,5.7,108281,Adventure,Comedy,Crime
825639,tt0115438,2 Days in the Valley,US,movie,2 Days in the Valley,1996,104,6.5,19319,Comedy,Crime,Thriller
825782,tt0115471,Adrenalin: Fear the Rush,US,movie,Adrenalin: Fear the Rush,1996,77,3.9,3612,Action,Sci-Fi,Thriller
825820,tt0115472,The Adventures of Pinocchio,US,movie,The Adventures of Pinocchio,1996,96,5.3,5638,Adventure,Drama,Family
825858,tt0115479,According to Pereira,US,movie,Sostiene Pereira,1995,104,7.2,1304,Drama,,
825967,tt0115493,Alaska,US,movie,Alaska,1996,109,5.8,5396,Adventure,Family,
825999,tt0115495,Albino Alligator,US,movie,Albino Alligator,1996,94,6.1,7965,Crime,Drama,Thriller
826083,tt0115509,All Dogs Go to Heaven 2,US,movie,All Dogs Go to Heaven 2,1996,82,5.6,5883,Adventure,Animation,Family
826193,tt0115530,American Buffalo,US,movie,American Buffalo,1996,88,5.8,3714,Drama,,
826364,tt0115561,The Apartment,US,movie,L'appartement,1996,116,7.4,14182,Drama,Mystery,Romance
826417,tt0115568,Army,US,movie,Army,1996,153,4.4,1677,Action,Drama,
826425,tt0115571,The Making of the Arrival,US,movie,The Arrival,1996,115,6.2,34490,Mystery,Sci-Fi,Thriller
826529,tt0115580,The Associate,US,movie,The Associate,1996,114,6.1,8036,Comedy,,
826648,tt0115610,Bad Moon,US,movie,Bad Moon,1996,80,5.8,6566,Horror,Thriller,
826713,tt0115624,Barb Wire,US,movie,Barb Wire,1996,98,3.4,27302,Action,Sci-Fi,
826775,tt0115632,Basquiat,US,movie,Basquiat,1996,107,6.9,20341,Biography,Drama,
826790,tt0115633,Bastard Out of Carolina,US,movie,Bastard Out of Carolina,1996,98,7.4,4311,Drama,,
826821,tt0115638,Beaumarchais the Scoundrel,US,movie,Beaumarchais l'insolent,1996,100,6.8,1311,Adventure,Comedy,History
826824,tt0115639,Beautiful Girls,US,movie,Beautiful Girls,1996,112,7.1,32380,Comedy,Drama,Romance
826853,tt0115640,Beautiful Thing,US,movie,Beautiful Thing,1996,90,7.6,23620,Comedy,Drama,Romance
826882,tt0115641,Beavis and Butt-Head Do America,US,movie,Beavis and Butt-Head Do America,1996,81,6.8,53983,Adventure,Animation,Comedy
826920,tt0115644,Bed of Roses,US,movie,Bed of Roses,1996,87,6.1,8209,Drama,Romance,
826966,tt0115645,Before and After,US,movie,Before and After,1996,108,6.1,8790,Crime,Drama,Mystery
827012,tt0115650,The Green Planet,US,movie,La belle verte,1996,99,7.3,4600,Comedy,Sci-Fi,
827050,tt0115658,Bernie,US,movie,Bernie,1996,87,7.2,3669,Comedy,Drama,
827073,tt0115665,Beyond Hypothermia,US,movie,Sip si 32 dou,1996,86,6.7,1137,Action,Romance,Thriller
827114,tt0115669,The King of Masks,US,movie,Bian Lian,1996,91,7.7,3266,Drama,,
827176,tt0115676,Big Bully,US,movie,Big Bully,1996,90,4.8,4927,Comedy,Thriller,
827195,tt0115678,Big Night,US,movie,Big Night,1996,109,7.3,19181,Drama,Romance,
827238,tt0115683,Biodome,US,movie,Bio-Dome,1996,88,4.5,27050,Comedy,,
827290,tt0115685,The Birdcage,US,movie,The Birdcage,1996,117,7.1,85275,Comedy,,
827346,tt0115693,Black Mask,US,movie,Hak hap,1996,99,6.1,11507,Action,Adventure,Comedy
827386,tt0115697,Black Sheep,US,movie,Black Sheep,1996,87,6.3,38964,Comedy,,
827412,tt0115701,Blast,US,movie,Blast,1997,99,4.4,1569,Action,,
827469,tt0115710,Blood and Wine,US,movie,Blood and Wine,1996,101,6.0,9787,Crime,Drama,Thriller
827581,tt0115725,Bogus,US,movie,Bogus,1996,110,5.4,6583,Comedy,Family,Fantasy
827647,tt0115734,Bottle Rocket,US,movie,Bottle Rocket,1996,91,7.0,73816,Comedy,Crime,Drama
827666,tt0115736,Bound,US,movie,Bound,1996,109,7.3,53316,Crime,Thriller,
827729,tt0115738,Box of Moonlight,US,movie,Box of Moonlight,1996,112,7.2,5572,Comedy,Drama,
827750,tt0115742,Boys,US,movie,Boys,1996,86,5.0,3638,Drama,Mystery,Romance
827792,tt0115744,Brassed Off!,US,movie,Brassed Off,1996,108,7.2,19400,Comedy,Drama,Romance
827866,tt0115751,Breaking the Waves,US,movie,Breaking the Waves,1996,159,7.8,64962,Drama,,
827937,tt0115759,Broken Arrow,US,movie,Broken Arrow,1996,108,6.1,95225,Action,Adventure,Thriller
828045,tt0115781,Bullet,US,movie,Bullet,1996,96,6.5,8216,Action,Crime,Drama
828074,tt0115783,Bulletproof,US,movie,Bulletproof,1996,84,5.8,37653,Action,Comedy,Crime
828179,tt0115798,The Cable Guy,US,movie,The Cable Guy,1996,96,6.1,159701,Comedy,Drama,Thriller
828252,tt0115813,People Can Lick Too,US,movie,Campfire Tales,1997,88,5.9,3937,Horror,Mystery,
828299,tt0115819,"Cannibal, The Musical",US,movie,Alferd Packer: The Musical,1993,95,7.1,12170,Comedy,Musical,Thriller
828350,tt0115822,Captain Conan,US,movie,Capitaine Conan,1996,129,7.3,2226,Drama,War,
828427,tt0115832,Carla's Song,US,movie,Carla's Song,1996,127,6.8,3198,Drama,Romance,War
828431,tt0115834,Primal Species,US,movie,Carnosaur 3: Primal Species,1996,85,3.2,1913,Action,Horror,Sci-Fi
828459,tt0115836,Carpool,US,movie,Carpool,1996,89,5.0,4794,Comedy,,
828476,tt0115837,Carried Away,US,movie,Carried Away,1996,109,6.3,1571,Drama,Romance,
828506,tt0115847,Atrapados,US,movie,Caught,1996,110,6.6,1536,Drama,Thriller,
828538,tt0115851,Celtic Pride,US,movie,Celtic Pride,1996,91,5.3,9929,Comedy,Sport,
828589,tt0115856,When the Cat's Away,US,movie,Chacun cherche son chat,1996,91,6.8,3332,Comedy,Romance,
828609,tt0115857,Dead Drop,US,movie,Chain Reaction,1996,107,5.7,51156,Action,Drama,Sci-Fi
828687,tt0115862,The Chamber,US,movie,The Chamber,1996,113,6.0,14887,Crime,Drama,Thriller
828806,tt0115886,Children of the Revolution,US,movie,Children of the Revolution,1996,101,6.3,2346,Comedy,Drama,Romance
828890,tt0115899,The Cyclone,US,movie,Il ciclone,1996,93,6.8,3679,Comedy,Romance,
828915,tt0115906,The Devil Inside,US,movie,Citizen Ruth,1996,106,7.0,7808,Comedy,Drama,
